,D_X,D_Y,N_components,MCG_DIFF,DDRM,DPS,RNVP,MCG_DIFF_num,DDRM_num,DPS_num,RNVP_num
3,2,1,20,1.11 ± 0.44,2.56 ± 0.80,3.50 ± 1.13,5.51 ± 1.34,1.115,2.559,3.496,5.513
4,6,1,20,1.95 ± 0.43,4.20 ± 0.78,5.43 ± 1.05,6.16 ± 0.65,1.949,4.203,5.432,6.160
5,6,3,20,0.73 ± 0.33,2.20 ± 0.67,3.47 ± 0.78,4.70 ± 0.90,0.733,2.196,3.468,4.701
6,6,5,20,0.41 ± 0.12,0.91 ± 0.43,2.07 ± 0.63,3.52 ± 0.93,0.412,0.910,2.069,3.516
0,10,1,20,2.45 ± 0.42,3.82 ± 0.64,4.30 ± 0.91,6.04 ± 0.38,2.452,3.818,4.304,6.036
1,10,3,20,1.07 ± 0.26,4.94 ± 0.87,5.38 ± 0.84,5.91 ± 0.64,1.070,4.938,5.381,5.907
2,10,5,20,0.71 ± 0.12,2.32 ± 0.74,3.74 ± 0.77,5.11 ± 0.69,0.705,2.324,3.735,5.110
