,dim,dim_y,n_steps,DDRM,DPS,FK-SGM,SMC-DIFF,SMC-DIFF_adapted,DDRM_num,DPS_num,FK-SGM_num,SMC-DIFF_num,SMC-DIFF_adapted_num
1,8,1,100,4.5 ± 1.5,3.3 ± 0.8,1.8 ± 0.6,3.7 ± 1.0,4.2 ± 0.9,4.5,3.3,1.8,3.7,4.2
3,8,2,100,4.5 ± 1.3,3.2 ± 1.1,1.1 ± 0.5,2.5 ± 0.8,3.8 ± 1.4,4.5,3.2,1.1,2.5,3.8
5,8,4,100,1.2 ± 0.6,0.9 ± 0.5,0.2 ± 0.0,0.6 ± 0.4,1.3 ± 0.6,1.2,0.9,0.2,0.6,1.3
7,80,1,100,6.4 ± 1.2,3.1 ± 1.4,1.3 ± 0.3,3.4 ± 1.7,4.0 ± 1.4,6.4,3.1,1.3,3.4,4.0
9,80,2,100,9.2 ± 1.1,2.8 ± 1.2,1.1 ± 0.7,2.1 ± 0.6,4.2 ± 1.2,9.2,2.8,1.1,2.1,4.2
11,80,4,100,7.1 ± 1.0,1.4 ± 0.6,0.3 ± 0.0,1.7 ± 1.0,1.8 ± 0.8,7.1,1.4,0.3,1.7,1.8
13,800,1,100,7.2 ± 1.4,2.7 ± 1.0,2.6 ± 0.9,4.0 ± 1.2,4.4 ± 1.0,7.2,2.7,2.6,4.0,4.4
15,800,2,100,8.6 ± 1.0,1.8 ± 0.9,1.3 ± 0.8,2.9 ± 1.1,3.4 ± 1.1,8.6,1.8,1.3,2.9,3.4
17,800,4,100,8.3 ± 1.0,0.4 ± 0.2,0.3 ± 0.0,1.2 ± 0.7,1.9 ± 0.7,8.3,0.4,0.3,1.2,1.9
